"run"	"study"	"experiment"	"cell"	"other"	"replicate"	"treament"	"sample_acc"	"title"	"sample_attribute"	"spots"	"platform"	"layout"	"strategy"	"SRA"	"phred"	"strand"
"SRR12193641"	"GSE154197"	"SRX8707003"	"ARPE-19"	NA	3	"siControl"	"SRS6983690"	"GSM4665782: RPE Control replicate 3; Homo sapiens; RNA-Seq"	" || source_name: retinal pigment epithial || biomaterial_provider: ATCC CRL-2304 || cell line: ARPE-19 || sirna target: non-targeting"	"38.93M"	"NextSeq 500"	"S"	"RNA-Seq"	"SRA1097278"	"--phred33"	"--rna-strandness F"
"SRR5558489"	"GSE98898"	"SRX2821656"	"RWPE-1"	NA	1	"sgControl"	"SRS2198798"	"GSM2627208: Control RNA-seq rep1; Homo sapiens; RNA-Seq"	" || source_name: Control || cell line: prostate cell line RWPE1 || treatment: Genome Editing || genotype/variation: wild type"	"45.33M"	"NextSeq 500"	"S"	"RNA-Seq"	"SRA561771"	"--phred33"	"--rna-strandness R"
"SRR5558490"	"GSE98898"	"SRX2821657"	"RWPE-1"	NA	2	"sgControl"	"SRS2198799"	"GSM2627209: Control RNA-seq rep2; Homo sapiens; RNA-Seq"	" || source_name: Control || cell line: prostate cell line RWPE1 || treatment: Genome Editing || genotype/variation: wild type"	"54.02M"	"NextSeq 500"	"S"	"RNA-Seq"	"SRA561771"	"--phred33"	"--rna-strandness R"
"SRR5558491"	"GSE98898"	"SRX2821648"	"RWPE-1"	NA	3	"sgControl"	"SRS2198790"	"GSM2627210: Control RNA-seq rep3; Homo sapiens; RNA-Seq"	" || source_name: Control || cell line: prostate cell line RWPE1 || treatment: Genome Editing || genotype/variation: wild type"	"48.81M"	"NextSeq 500"	"S"	"RNA-Seq"	"SRA561771"	"--phred33"	"--rna-strandness R"
"SRR5558492"	"GSE98898"	"SRX2821658"	"RWPE-1"	NA	4	"sgControl"	"SRS2198800"	"GSM2627211: Control RNA-seq rep4; Homo sapiens; RNA-Seq"	" || source_name: Control || cell line: prostate cell line RWPE1 || treatment: Genome Editing || genotype/variation: wild type"	"52.2M"	"NextSeq 500"	"S"	"RNA-Seq"	"SRA561771"	"--phred33"	"--rna-strandness R"
"SRR5558493"	"GSE98898"	"SRX2821659"	"RWPE-1"	NA	5	"sgControl"	"SRS2198801"	"GSM2627212: Control RNA-seq rep5; Homo sapiens; RNA-Seq"	" || source_name: Control || cell line: prostate cell line RWPE1 || treatment: Genome Editing || genotype/variation: wild type"	"43.04M"	"NextSeq 500"	"S"	"RNA-Seq"	"SRA561771"	"--phred33"	"--rna-strandness R"
"SRR1560895"	"GSE60883"	"SRX689250"	"MRC5"	NA	1	"Parental"	"SRS691745"	"GSM1492877: MRC_5_PD32_1; Homo sapiens; RNA-Seq"	" || source_name: total RNA extracted from MRC-5 fibroblasts || population doublings: 32 || cell type: MRC-5 fibroblasts || treatment: control"	"39.24M"	"Illumina HiSeq 2000"	"S"	"RNA-Seq"	"SRA180543"	"--phred33"	"unstranded"
"SRR1560896"	"GSE60883"	"SRX689251"	"MRC5"	NA	2	"Parental"	"SRS691746"	"GSM1492878: MRC_5_PD32_2; Homo sapiens; RNA-Seq"	" || source_name: total RNA extracted from MRC-5 fibroblasts || population doublings: 32 || cell type: MRC-5 fibroblasts || treatment: control"	"43.06M"	"Illumina HiSeq 2000"	"S"	"RNA-Seq"	"SRA180543"	"--phred33"	"unstranded"
"SRR1560897"	"GSE60883"	"SRX689252"	"MRC5"	NA	3	"Parental"	"SRS691747"	"GSM1492879: MRC_5_PD32_3; Homo sapiens; RNA-Seq"	" || source_name: total RNA extracted from MRC-5 fibroblasts || population doublings: 32 || cell type: MRC-5 fibroblasts || treatment: control"	"43.15M"	"Illumina HiSeq 2000"	"S"	"RNA-Seq"	"SRA180543"	"--phred33"	"unstranded"
"SRR19895498___SRR19895499"	"GSE207158"	"SRX15938551"	"ARPE-19"	NA	3	"Parental"	"SRS13625734"	"GSM6280652: Wildtype biol rep 3; Homo sapiens; RNA-Seq"	" || source_name: ARPE19 || cell line: ARPE19 || cell type: retinal pigment epithelial cells || genotype: wildtype || treatment: Regular maintenance || time: Day 3"	"41.75M"	"Illumina NovaSeq 6000"	"S"	"RNA-Seq"	"SRA1445910"	"--phred33"	"--rna-strandness R"
"SRR19895500___SRR19895501"	"GSE207158"	"SRX15938550"	"ARPE-19"	NA	2	"Parental"	"SRS13625733"	"GSM6280651: Wildtype biol rep 2; Homo sapiens; RNA-Seq"	" || source_name: ARPE19 || cell line: ARPE19 || cell type: retinal pigment epithelial cells || genotype: wildtype || treatment: Regular maintenance || time: Day 3"	"42.51M"	"Illumina NovaSeq 6000"	"S"	"RNA-Seq"	"SRA1445910"	"--phred33"	"--rna-strandness R"
"SRR19895502___SRR19895503"	"GSE207158"	"SRX15938549"	"ARPE-19"	NA	1	"Parental"	"SRS13625732"	"GSM6280650: Wildtype biol rep 1; Homo sapiens; RNA-Seq"	" || source_name: ARPE19 || cell line: ARPE19 || cell type: retinal pigment epithelial cells || genotype: wildtype || treatment: Regular maintenance || time: Day 3"	"45.46M"	"Illumina NovaSeq 6000"	"S"	"RNA-Seq"	"SRA1445910"	"--phred33"	"--rna-strandness R"
"SRR18004599"	"GSE196634"	"SRX14160184"	"RWPE-1"	NA	3	"Normoxia"	"SRS11985357"	"GSM5897103: RWPE1 Normoxia rep3; Homo sapiens; RNA-Seq"	" || source_name: RWPE1 || cell line: RWPE1 || cell type: Immortalized prostate epithelial cell || treatment: untreated"	"33.98M"	"NextSeq 500"	"S"	"RNA-Seq"	"SRA1372027"	"--phred33"	"--rna-strandness R"
"SRR18004600"	"GSE196634"	"SRX14160183"	"RWPE-1"	NA	2	"Normoxia"	"SRS11985356"	"GSM5897102: RWPE1 Normoxia rep2; Homo sapiens; RNA-Seq"	" || source_name: RWPE1 || cell line: RWPE1 || cell type: Immortalized prostate epithelial cell || treatment: untreated"	"29.83M"	"NextSeq 500"	"S"	"RNA-Seq"	"SRA1372027"	"--phred33"	"--rna-strandness R"
"SRR18004601"	"GSE196634"	"SRX14160182"	"RWPE-1"	NA	1	"Normoxia"	"SRS11985355"	"GSM5897101: RWPE1 Normoxia rep1; Homo sapiens; RNA-Seq"	" || source_name: RWPE1 || cell line: RWPE1 || cell type: Immortalized prostate epithelial cell || treatment: untreated"	"34.55M"	"NextSeq 500"	"S"	"RNA-Seq"	"SRA1372027"	"--phred33"	"--rna-strandness R"
"SRR15671423"	"GSE183058"	"SRX11968086"	"MCF10A"	"pCDH"	1	"Vector"	"SRS9977010"	"GSM5550239: MCF10A_pCDHempty1; Homo sapiens; RNA-Seq"	" || source_name: MCF10A cell line || cell line: MCF10A || cell type: normal breast epithelial || genotype: empty vector"	"33.42M"	"Illumina HiSeq 2000"	"P"	"RNA-Seq"	"SRA1285857"	"--phred33"	"--rna-strandness RF"
"SRR15671425"	"GSE183058"	"SRX11968087"	"MCF10A"	"pCDH"	2	"Vector"	"SRS9977011"	"GSM5550240: MCF10A_pCDHempty2; Homo sapiens; RNA-Seq"	" || source_name: MCF10A cell line || cell line: MCF10A || cell type: normal breast epithelial || genotype: empty vector"	"28.91M"	"Illumina HiSeq 2000"	"P"	"RNA-Seq"	"SRA1285857"	"--phred33"	"--rna-strandness RF"
"SRR8595046"	"GSE126799"	"SRX5395132"	"MCF10A"	"PBS_BSA"	1	"Control"	"SRS4382070"	"GSM3613448: AI011_MCF10A_Control_rep1; Homo sapiens; RNA-Seq"	" || source_name: MCF-10A cell line || sample_file_prefix: C1_S1 || treatment: Control || technical replicates: 1"	"91.18M"	"NextSeq 500"	"S"	"RNA-Seq"	"SRA850688"	"--phred33"	"--rna-strandness R"
"SRR8595047"	"GSE126799"	"SRX5395133"	"MCF10A"	"PBS_BSA"	2	"Control"	"SRS4382071"	"GSM3613449: AI011_MCF10A_Control_rep2; Homo sapiens; RNA-Seq"	" || source_name: MCF-10A cell line || sample_file_prefix: C2_S2 || treatment: Control || technical replicates: 1"	"98.9M"	"NextSeq 500"	"S"	"RNA-Seq"	"SRA850688"	"--phred33"	"--rna-strandness R"
"SRR8595048"	"GSE126799"	"SRX5395134"	"MCF10A"	"PBS_BSA"	3	"Control"	"SRS4382072"	"GSM3613450: AI011_MCF10A_Control_rep3; Homo sapiens; RNA-Seq"	" || source_name: MCF-10A cell line || sample_file_prefix: C3_S3 || treatment: Control || technical replicates: 1"	"79.69M"	"NextSeq 500"	"S"	"RNA-Seq"	"SRA850688"	"--phred33"	"--rna-strandness R"
"SRR5629569___SRR5629570"	"GSE99454"	"SRX2869870"	"ARPE-19"	"AO"	1	"Parental"	"SRS2240212"	"GSM2644285: ARPE-19 mock rep1 24hpi; Homo sapiens; RNA-Seq"	" || source_name: adult retina || cell type: epithelial || treatment: mock || replication: biological replicate 1"	"35.5M"	"Illumina HiSeq 2500"	"P"	"RNA-Seq"	"SRA567826"	"--phred33"	"--rna-strandness RF"
"SRR5629571___SRR5629572"	"GSE99454"	"SRX2869871"	"MRC5"	"AO"	2	"Parental"	"SRS2240213"	"GSM2644286: MRC-5 mock rep2 24hpi; Homo sapiens; RNA-Seq"	" || source_name: embryonic lung || cell type: fibroblast || treatment: mock || replication: biological replicate 2"	"22.25M"	"Illumina HiSeq 2500"	"P"	"RNA-Seq"	"SRA567826"	"--phred33"	"--rna-strandness RF"
"SRR5629577___SRR5629578"	"GSE99454"	"SRX2869874"	"MRC5"	"AO"	1	"Parental"	"SRS2240216"	"GSM2644289: MRC-5 mock rep1 24hpi; Homo sapiens; RNA-Seq"	" || source_name: embryonic lung || cell type: fibroblast || treatment: mock || replication: biological replicate 1"	"36.03M"	"Illumina HiSeq 2500"	"P"	"RNA-Seq"	"SRA567826"	"--phred33"	"--rna-strandness RF"
"SRR5629579___SRR5629580"	"GSE99454"	"SRX2869875"	"ARPE-19"	"AO"	2	"Parental"	"SRS2240217"	"GSM2644290: ARPE-19 mock rep2 24hpi; Homo sapiens; RNA-Seq"	" || source_name: adult retina || cell type: epithelial || treatment: mock || replication: biological replicate 2"	"20.35M"	"Illumina HiSeq 2500"	"P"	"RNA-Seq"	"SRA567826"	"--phred33"	"--rna-strandness RF"
"SRR17130486"	"GSE190176"	"SRX13314955"	"MCF10A"	NA	3	"mCherry-OE"	"SRS11223139"	"GSM5717669: MCF10AmCherry repl3; Homo sapiens; RNA-Seq"	" || source_name: Mammary epithelial cells MCF10A stably expressing mCherry || cell line: MCF10A || exogenous protein expressed: mCherry"	"24.61M"	"Illumina HiSeq 4000"	"S"	"RNA-Seq"	"SRA1338710"	"--phred33"	"--rna-strandness R"
"SRR17130487"	"GSE190176"	"SRX13314954"	"MCF10A"	NA	2	"mCherry-OE"	"SRS11223142"	"GSM5717668: MCF10AmCherry repl2; Homo sapiens; RNA-Seq"	" || source_name: Mammary epithelial cells MCF10A stably expressing mCherry || cell line: MCF10A || exogenous protein expressed: mCherry"	"32.01M"	"Illumina HiSeq 4000"	"S"	"RNA-Seq"	"SRA1338710"	"--phred33"	"--rna-strandness R"
"SRR17130488"	"GSE190176"	"SRX13314953"	"MCF10A"	NA	1	"mCherry-OE"	"SRS11223141"	"GSM5717667: MCF10AmCherry repl1; Homo sapiens; RNA-Seq"	" || source_name: Mammary epithelial cells MCF10A stably expressing mCherry || cell line: MCF10A || exogenous protein expressed: mCherry"	"33.94M"	"Illumina HiSeq 4000"	"S"	"RNA-Seq"	"SRA1338710"	"--phred33"	"--rna-strandness R"
"SRR12626558"	"GSE157858"	"SRX9108866"	"MCF10A"	NA	1	"DMSO"	"SRS7352262"	"GSM4776926: MCF10A-parental-DMSO-1; Homo sapiens; RNA-Seq"	" || source_name: MCF10A Parental R1 DMSO 4 hours || cell line: MCF10A || condition: parental || treatment: DMSO || genotype: wildtype"	"200.76M"	"Illumina HiSeq 2000"	"P"	"RNA-Seq"	"SRA1124415"	"--phred33"	"unstranded"
"SRR12626559"	"GSE157858"	"SRX9108867"	"MCF10A"	NA	2	"DMSO"	"SRS7352263"	"GSM4776927: MCF10A-parental-DMSO-2; Homo sapiens; RNA-Seq"	" || source_name: MCF10A Parental R2 DMSO 4 hours || cell line: MCF10A || condition: parental || treatment: DMSO || genotype: wildtype"	"177.67M"	"Illumina HiSeq 2000"	"P"	"RNA-Seq"	"SRA1124415"	"--phred33"	"unstranded"
"SRR12626560"	"GSE157858"	"SRX9108868"	"MCF10A"	NA	3	"DMSO"	"SRS7352264"	"GSM4776928: MCF10A-parental-DMSO-3; Homo sapiens; RNA-Seq"	" || source_name: MCF10A Parental R3 DMSO 4 hours || cell line: MCF10A || condition: parental || treatment: DMSO || genotype: wildtype"	"164.55M"	"Illumina HiSeq 2000"	"P"	"RNA-Seq"	"SRA1124415"	"--phred33"	"unstranded"
"SRR13084732"	"GSE161789"	"SRX9531428"	"MRC5"	NA	1	"Parental"	"SRS7737955"	"GSM4914513: MRC5-RNA-CON rep1; Homo sapiens; RNA-Seq"	" || source_name: Fibroblast cells || cell line: MRC5 || cell type: normal lung tissue-derived fibroblast cells || treatment: untreated"	"23.19M"	"Illumina NovaSeq 6000"	"P"	"RNA-Seq"	"SRA1161352"	"--phred33"	"unstranded"
"SRR13084733"	"GSE161789"	"SRX9531429"	"MRC5"	NA	2	"Parental"	"SRS7737956"	"GSM4914514: MRC5-RNA-CON rep2; Homo sapiens; RNA-Seq"	" || source_name: Fibroblast cells || cell line: MRC5 || cell type: normal lung tissue-derived fibroblast cells || treatment: untreated"	"22.19M"	"Illumina NovaSeq 6000"	"P"	"RNA-Seq"	"SRA1161352"	"--phred33"	"unstranded"
"SRR2919800"	"GSE75035"	"SRX1433418"	"RWPE-1"	NA	1	"Scr"	"SRS1164406"	"GSM1941110: RWPE-1_Scr_1; Homo sapiens; RNA-Seq"	" || source_name: RWPE-1_Scr || cell line: RWPE-1 || cell type: normal prostate epithelium cell line || transfected with: scrambled siRNA || antibody: none"	"7.82M"	"Illumina HiSeq 2000"	"P"	"RNA-Seq"	"SRA311786"	"--phred33"	"unstranded"
"SRR2919803"	"GSE75035"	"SRX1433421"	"RWPE-1"	NA	2	"Scr"	"SRS1164404"	"GSM1941113: RWPE-1_Scr_2; Homo sapiens; RNA-Seq"	" || source_name: RWPE-1_Scr || cell line: RWPE-1 || cell type: normal prostate epithelium cell line || transfected with: scrambled siRNA || antibody: none"	"6.54M"	"Illumina HiSeq 2000"	"P"	"RNA-Seq"	"SRA311786"	"--phred33"	"unstranded"
"SRR6856295"	"GSE112007"	"SRX3811410"	"RWPE-1"	NA	1	"Control"	"SRS3061927"	"GSM3052833: RC_1; Homo sapiens; RNA-Seq"	" || source_name: Prostate || cell line: RWPE-1 || treatment: control || cell type: normal || tissue: Prostate"	"42.98M"	"Illumina HiSeq 4000"	"P"	"RNA-Seq"	"SRA667612"	"--phred33"	"unstranded"
"SRR6856296"	"GSE112007"	"SRX3811411"	"RWPE-1"	NA	2	"Control"	"SRS3061929"	"GSM3052834: RC_2; Homo sapiens; RNA-Seq"	" || source_name: Prostate || cell line: RWPE-1 || treatment: control || cell type: normal || tissue: Prostate"	"24.59M"	"Illumina HiSeq 4000"	"P"	"RNA-Seq"	"SRA667612"	"--phred33"	"unstranded"
"SRR6856297"	"GSE112007"	"SRX3811412"	"RWPE-1"	NA	3	"Control"	"SRS3061928"	"GSM3052835: RC_3; Homo sapiens; RNA-Seq"	" || source_name: Prostate || cell line: RWPE-1 || treatment: control || cell type: normal || tissue: Prostate"	"28.14M"	"Illumina HiSeq 4000"	"P"	"RNA-Seq"	"SRA667612"	"--phred33"	"unstranded"
"SRR17230995"	"GSE190929"	"SRX13410105"	"MRC5"	NA	2	"Vehicle"	"SRS11312719"	"GSM5734419: MRC5-veh-A; Homo sapiens; RNA-Seq"	" || source_name: lung fibroblast || tissue: lung || cell type: fibroblast || treatment: vehicle"	"28.3M"	"Illumina NovaSeq 6000"	"P"	"RNA-Seq"	"SRA1511922"	"--phred33"	"--rna-strandness RF"
"SRR17230998"	"GSE190929"	"SRX13410102"	"MRC5"	NA	1	"Vehicle"	"SRS11312716"	"GSM5734420: MRC5-veh-C; Homo sapiens; RNA-Seq"	" || source_name: lung fibroblast || tissue: lung || cell type: fibroblast || treatment: vehicle"	"23.61M"	"Illumina NovaSeq 6000"	"P"	"RNA-Seq"	"SRA1511922"	"--phred33"	"--rna-strandness RF"
"SRR11576978"	"GSE148992"	"SRX8144825"	"MRC5"	NA	1	"Parental"	"SRS6507685"	"GSM4487065: MRC5_1; Homo sapiens; RNA-Seq"	" || source_name: MRC5 || developmental stage: Fetal || cell line: fetal human lung fibroblast cell line MRC5"	"72.1M"	"Illumina HiSeq 4000"	"P"	"RNA-Seq"	"SRA1067442"	"--phred33"	"unstranded"
"SRR11576979"	"GSE148992"	"SRX8144826"	"MRC5"	NA	2	"Parental"	"SRS6507686"	"GSM4487066: MRC5_2; Homo sapiens; RNA-Seq"	" || source_name: MRC5 || developmental stage: Fetal || cell line: fetal human lung fibroblast cell line MRC5"	"70.44M"	"Illumina HiSeq 4000"	"P"	"RNA-Seq"	"SRA1067442"	"--phred33"	"unstranded"
"SRR11576980"	"GSE148992"	"SRX8144827"	"MRC5"	NA	3	"Parental"	"SRS6507687"	"GSM4487067: MRC5_3; Homo sapiens; RNA-Seq"	" || source_name: MRC5 || developmental stage: Fetal || cell line: fetal human lung fibroblast cell line MRC5"	"76.12M"	"Illumina HiSeq 4000"	"P"	"RNA-Seq"	"SRA1067442"	"--phred33"	"unstranded"
"SRR8735116"	"GSE128399"	"SRX5527897"	"RWPE-1"	NA	1	"Parental"	"SRS4494448"	"GSM3673649: RWPE-1 RNA-seq Rep 1; Homo sapiens; RNA-Seq"	" || source_name: Normal prostate cells || cell line: RWPE-1 || cell type: Prostate cell line || genotype/variation: Parental"	"31.36M"	"Illumina HiSeq 2500"	"P"	"RNA-Seq"	"SRA861328"	"--phred33"	"--rna-strandness RF"
"SRR8735117"	"GSE128399"	"SRX5527898"	"RWPE-1"	NA	2	"Parental"	"SRS4494449"	"GSM3673650: RWPE-1 RNA-seq Rep 2; Homo sapiens; RNA-Seq"	" || source_name: Normal prostate cells || cell line: RWPE-1 || cell type: Prostate cell line || genotype/variation: Parental"	"43.26M"	"Illumina HiSeq 2500"	"P"	"RNA-Seq"	"SRA861328"	"--phred33"	"--rna-strandness RF"
"SRR20414481"	"GSE209545"	"SRX16447097"	"MCF10A"	NA	3	"Parental"	"SRS14083815"	"GSM6376713: Parental biol rep 3 [M10AP3]; Homo sapiens; RNA-Seq"	" || source_name: breast || tissue: breast || cell line: MCF10 || cell type: epithelial || genotype: Parental || treatment: none"	"56.82M"	"Illumina NovaSeq 6000"	"P"	"RNA-Seq"	"SRA1461522"	"--phred33"	"--rna-strandness RF"
"SRR20414482"	"GSE209545"	"SRX16447096"	"MCF10A"	NA	2	"Parental"	"SRS14083814"	"GSM6376712: Parental biol rep 2 [M10AP2]; Homo sapiens; RNA-Seq"	" || source_name: breast || tissue: breast || cell line: MCF10 || cell type: epithelial || genotype: Parental || treatment: none"	"78.33M"	"Illumina NovaSeq 6000"	"P"	"RNA-Seq"	"SRA1461522"	"--phred33"	"--rna-strandness RF"
"SRR20414483"	"GSE209545"	"SRX16447095"	"MCF10A"	NA	1	"Parental"	"SRS14083813"	"GSM6376711: Parental biol rep 1 [M10AP1]; Homo sapiens; RNA-Seq"	" || source_name: breast || tissue: breast || cell line: MCF10 || cell type: epithelial || genotype: Parental || treatment: none"	"69.18M"	"Illumina NovaSeq 6000"	"P"	"RNA-Seq"	"SRA1461522"	"--phred33"	"--rna-strandness RF"
"SRR20414484"	"GSE209545"	"SRX16447094"	"MCF10A"	NA	3	"Vector"	"SRS14083812"	"GSM6376710: Empty vector biol rep 3 [M10AEV3]; Homo sapiens; RNA-Seq"	" || source_name: breast || tissue: breast || cell line: MCF10 || cell type: epithelial || genotype: EV || treatment: none"	"65.58M"	"Illumina NovaSeq 6000"	"P"	"RNA-Seq"	"SRA1461522"	"--phred33"	"--rna-strandness RF"
"SRR20414485"	"GSE209545"	"SRX16447093"	"MCF10A"	NA	2	"Vector"	"SRS14083810"	"GSM6376709: Empty vector biol rep 2 [M10AEV2]; Homo sapiens; RNA-Seq"	" || source_name: breast || tissue: breast || cell line: MCF10 || cell type: epithelial || genotype: EV || treatment: none"	"67.23M"	"Illumina NovaSeq 6000"	"P"	"RNA-Seq"	"SRA1461522"	"--phred33"	"--rna-strandness RF"
"SRR20414486"	"GSE209545"	"SRX16447092"	"MCF10A"	NA	1	"Vector"	"SRS14083811"	"GSM6376708: Empty vector biol rep 1 [M10AEV1]; Homo sapiens; RNA-Seq"	" || source_name: breast || tissue: breast || cell line: MCF10 || cell type: epithelial || genotype: EV || treatment: none"	"70.14M"	"Illumina NovaSeq 6000"	"P"	"RNA-Seq"	"SRA1461522"	"--phred33"	"--rna-strandness RF"
"SRR21660897"	"GSE213882"	"SRX17660623"	"MCF10A"	NA	2	"dox"	"SRS15192863"	"GSM6595757: MCF10A cells, Control, 18 hours Dox rep 2; Homo sapiens; RNA-Seq"	" || source_name: MCF10A || cell line: MCF10A || cell type: mammary epithelial cells || genotype: WT || treatment: Doxycycline || time: 18 h"	"19.76M"	"Illumina HiSeq 4000"	"P"	"RNA-Seq"	"SRA1503119"	"--phred33"	"unstranded"
"SRR21660898"	"GSE213882"	"SRX17660622"	"MCF10A"	NA	1	"dox"	"SRS15192861"	"GSM6595756: MCF10A cells, Control, 18 hours Dox rep 1; Homo sapiens; RNA-Seq"	" || source_name: MCF10A || cell line: MCF10A || cell type: mammary epithelial cells || genotype: WT || treatment: Doxycycline || time: 18 h"	"20.19M"	"Illumina HiSeq 4000"	"P"	"RNA-Seq"	"SRA1503119"	"--phred33"	"unstranded"
"SRR21010131"	"GSE210989"	"SRX17026642"	"MRC5"	NA	3	"Parental"	"SRS14611534"	"GSM6443802: Mock_3_48hpi_R1; Homo sapiens; RNA-Seq"	" || source_name: Human Lung Fibroblasts || cell line: MRC5 || cell type: Fibroblasts || infection: Mock || time point: 48 hpi"	"19.84M"	"Illumina HiSeq 2500"	"S"	"RNA-Seq"	"SRA1473312"	"--phred33"	"--rna-strandness R"
"SRR21010132"	"GSE210989"	"SRX17026641"	"MRC5"	NA	2	"Parental"	"SRS14611533"	"GSM6443801: Mock_2_48hpi_R1; Homo sapiens; RNA-Seq"	" || source_name: Human Lung Fibroblasts || cell line: MRC5 || cell type: Fibroblasts || infection: Mock || time point: 48 hpi"	"21.09M"	"Illumina HiSeq 2500"	"S"	"RNA-Seq"	"SRA1473312"	"--phred33"	"--rna-strandness R"
